doc_id,length_ratio_spearman_rho,mean_confidence_spearman_rho,occlusion_suspicion_score_spearman_rho
doc_001,-0.9411239481143202,-0.9411239481143202,0.9411239481143202
doc_002,-0.9856107606091623,-0.8196885999705371,0.9276336570439175
doc_003,-0.9856107606091623,-0.8116794499134279,0.9856107606091623
doc_004,-0.9856107606091623,-0.9276336570439175,0.9856107606091623
doc_005,-0.9856107606091623,-0.8116794499134279,0.9276336570439175
doc_006,-1.0,-0.8285714285714287,0.942857142857143
doc_007,-0.9856107606091623,-0.9710083124552245,0.9856107606091623
doc_008,-1.0,-0.8285714285714287,1.0
doc_009,-0.9710083124552245,-0.8116794499134279,0.9856107606091623
doc_010,-0.9710083124552245,-0.9710083124552245,0.9710083124552245
doc_011,-0.9710083124552245,-0.753702346348183,0.9276336570439175
doc_012,-0.9258200997725515,-0.753702346348183,0.753702346348183
